eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
83.49,1.11,1836,0.00022092828,0.0,2.7078397,-0.00047130385,0.5330319,-0.0004311800003051758,1,256,8.923453788273036,16384
89.2,1.18,2903,0.00036094236,0.0,2.7063272,-0.00066509686,0.14086556,0.02998220920562744,2,512,14.64601457491517,32768
81.94,1.05,3025,0.0015190203,0.0018717448,2.700758,-0.0013622036,0.14489652,0.034940898418426514,3,768,20.10581067763269,49152
85.27,1.27,2997,0.0037082478,0.014689128,2.676246,-0.0018914891,0.14995158,-0.0017135143280029297,4,1024,25.573464733548462,65536
85.23,1.06,2979,0.002678571,0.011067708,2.6653767,-0.00232481,0.13731655,0.08421516418457031,5,1280,31.11693063378334,81920
90.49,1.27,3003,0.003412978,0.03072103,2.651941,-0.0029478588,0.16470014,0.055123746395111084,6,1536,36.57391917798668,98304
94.63,1.42,3001,0.0019756488,0.0045776367,2.64023,-0.001815417,0.18219137,0.08487308025360107,7,1792,42.07649923488498,114688
90.41,1.12,3082,0.0030183448,0.026163736,2.6380484,-0.0027016967,0.14390673,0.1498005986213684,8,2048,47.393839847296476,131072
82.92,0.97,2965,0.0042319377,0.03208415,2.6249356,-0.0034944527,0.14522387,0.1326277256011963,9,2304,52.958399903960526,147456
83.56,1.0,2962,0.004218892,0.030924479,2.589472,-0.0037017718,0.16037612,0.1434829831123352,10,2560,58.489891403354704,163840
88.62,1.15,2906,0.0036532774,0.03334554,2.6177495,-0.003471652,0.13488986,0.14378905296325684,11,2816,64.17030172049999,180224
89.28,1.08,2996,0.0039061185,0.024780273,2.5878837,-0.003428385,0.1554734,0.16764652729034424,12,3072,69.63930720929056,196608
87.0,1.04,2997,0.0039319308,0.032999676,2.585839,-0.0036576064,0.14362346,0.15553957223892212,13,3328,75.14395983051509,212992
94.65,1.5,2991,0.0036042938,0.022603353,2.5673163,-0.002768525,0.17246692,0.13162046670913696,14,3584,80.6214578198269,229376
81.2,1.14,3009,0.0033291539,0.024637857,2.5640738,-0.003742567,0.13789168,0.20786398649215698,15,3840,86.11289579048753,245760
87.27,1.39,2975,0.0041597025,0.034362793,2.5437253,-0.0051506087,0.14499167,0.24232637882232666,16,4096,91.61960698384792,262144
93.96,1.45,2956,0.0044989935,0.035705566,2.530988,-0.0038790042,0.1631452,0.20707356929779053,17,4352,97.20525953453034,278528
82.99,1.23,3032,0.0034389964,0.025675455,2.5449362,-0.004248544,0.13304685,0.2219099998474121,18,4608,102.60863943584263,294912
87.44,1.37,2956,0.0046195346,0.03898112,2.535318,-0.0046091545,0.1520729,0.17519891262054443,19,4864,108.19437032286078,311296
84.79,1.04,3000,0.0035991557,0.026855469,2.5376682,-0.004548853,0.14566763,0.22792011499404907,20,5120,113.65592862572521,327680
89.23,1.45,3062,0.004876759,0.046691895,2.50168,-0.006368311,0.15701427,0.214258074760437,21,5376,119.05135719757527,344064
100.34,1.77,2863,0.0045986283,0.037394207,2.492573,-0.00542802,0.20265509,0.19792068004608154,22,5632,124.77491939906031,360448
89.82,1.54,3003,0.005300161,0.048360188,2.5047596,-0.0055438564,0.1702929,0.21901482343673706,23,5888,130.27582965884358,376832
100.35,1.73,2975,0.004796931,0.043558758,2.4844453,-0.0064785834,0.16999839,0.2901778221130371,24,6144,135.78265415504575,393216
90.63,1.15,3018,0.0045700185,0.038431805,2.4949262,-0.0069158846,0.12312911,0.3393005132675171,25,6400,141.25231850426644,409600
89.05,1.52,2965,0.0046108575,0.038675945,2.516748,-0.005807357,0.15377049,0.27319878339767456,26,6656,146.7787370691076,425984
85.71,1.41,2936,0.0054595214,0.06252035,2.4938066,-0.007624961,0.16749038,0.2879220247268677,27,6912,152.40806582104415,442368
85.1,1.29,2969,0.003484724,0.03129069,2.523774,-0.006393099,0.15190677,0.25895291566848755,28,7168,157.92604754585773,458752
90.6,1.44,2992,0.0046371953,0.04827881,2.5107162,-0.0072188624,0.15094863,0.2509581446647644,29,7424,163.4452548250556,475136
89.76,1.63,2875,0.005196514,0.055928547,2.4905348,-0.007764503,0.18736126,0.32862770557403564,30,7680,169.14515689294785,491520
102.69,1.93,2930,0.005634422,0.0666097,2.471209,-0.008727075,0.1701663,0.34044337272644043,31,7936,174.7758297789842,507904
90.95,1.45,2939,0.0059166406,0.06876627,2.4634016,-0.009677068,0.1619521,0.3549225926399231,32,8192,180.35092949029058,524288
96.36,2.13,2928,0.006244406,0.06970215,2.4703333,-0.005544424,0.2204898,0.2954399585723877,33,8448,185.98935386631638,540672
99.12,1.61,2920,0.005742984,0.067220055,2.4532278,-0.008812471,0.14075714,0.4083769917488098,34,8704,191.5999865802005,557056
92.84,1.71,2957,0.0062260493,0.0742391,2.4624798,-0.010974304,0.16096207,0.334911048412323,35,8960,197.17979926243424,573440
95.24,1.67,2899,0.0061884033,0.070739746,2.4715116,-0.008953246,0.16167705,0.3687898516654968,36,9216,202.83192036487162,589824
97.08,1.52,3063,0.0061876723,0.07460531,2.4739156,-0.010949125,0.12687734,0.3861014246940613,37,9472,208.21971609257162,606208
93.63,1.49,2870,0.0059266966,0.068725586,2.453173,-0.010992281,0.15257683,0.4167039394378662,38,9728,213.92899614851922,622592
101.61,1.69,2936,0.0067635127,0.081848145,2.4526389,-0.008984367,0.16870989,0.342170774936676,39,9984,219.5624726144597,638976
92.1,1.41,2963,0.0069373753,0.094807945,2.4429562,-0.011506508,0.1468731,0.3896663188934326,40,10240,225.09140137862414,655360
95.68,2.04,3025,0.0066592195,0.08217367,2.4434903,-0.00994155,0.1670387,0.35692650079727173,41,10496,230.5505871847272,671744
91.11,1.44,2937,0.0073711365,0.09574381,2.4282596,-0.011895486,0.12999724,0.3655731678009033,42,10752,236.1279921848327,688128
98.57,2.07,2983,0.007306474,0.09511312,2.4137146,-0.009614217,0.1929965,0.3486210107803345,43,11008,241.6620395835489,704512
99.18,1.73,3019,0.0074658715,0.09975179,2.4378586,-0.010986257,0.12696137,0.40953099727630615,44,11264,247.08878403622657,720896
99.47,1.91,2953,0.006142713,0.07499186,2.4418328,-0.011409213,0.15121591,0.3825458884239197,45,11520,252.6956420848146,737280
94.69,1.56,2930,0.007394766,0.09952799,2.4133308,-0.012745946,0.14865081,0.3572002649307251,46,11776,258.2881039567292,753664
95.43,1.54,2932,0.0076365634,0.099121094,2.451932,-0.011915176,0.1304868,0.4121103882789612,47,12032,263.9226023023948,770048
102.1,1.86,2887,0.007678849,0.09842936,2.4133413,-0.009136687,0.17732419,0.428913414478302,48,12288,269.5984095670283,786432
97.63,1.67,2863,0.007614831,0.09899902,2.4182117,-0.012671619,0.14697744,0.4315282702445984,49,12544,275.38210795633495,802816
99.59,2.31,3040,0.0082963575,0.10583496,2.4201095,-0.010161366,0.19461392,0.4170560836791992,50,12800,280.77242053020746,819200
106.3,1.97,2974,0.007302632,0.094319664,2.3942893,-0.0123635745,0.19375645,0.44770997762680054,51,13056,286.3260278040543,835584
97.38,1.81,2909,0.008675406,0.115763344,2.3678827,-0.013624541,0.179295,0.43764740228652954,52,13312,291.9581824019551,851968
92.67,1.66,2984,0.009455368,0.13043213,2.3639824,-0.015224639,0.16937523,0.40407615900039673,53,13568,297.49044912308455,868352
100.13,2.04,2918,0.008828095,0.119018555,2.3465643,-0.013861342,0.1701623,0.44418007135391235,54,13824,303.1045574378222,884736
101.42,2.23,3077,0.00877326,0.122416176,2.3614295,-0.013683755,0.18148202,0.4803217053413391,55,14080,308.4739933554083,901120
95.26,1.97,2952,0.008646613,0.11842855,2.3605905,-0.015270624,0.17361824,0.4363372325897217,56,14336,314.0250383457169,917504
99.79,1.68,3069,0.0091069285,0.12906902,2.3716073,-0.0168391,0.1521853,0.4506196975708008,57,14592,319.41009391937405,933888
104.34,1.69,2955,0.008377121,0.11580404,2.385689,-0.014616122,0.15265468,0.46842700242996216,58,14848,324.9548356803134,950272
98.11,2.05,2950,0.007906449,0.10538737,2.33966,-0.014687696,0.1669842,0.3856019973754883,59,15104,330.55200461577624,966656
87.15,1.5,2909,0.0078097857,0.10233561,2.3196337,-0.011565823,0.17952521,0.4111539125442505,60,15360,336.1854506675154,983040
97.12,1.76,2890,0.009121056,0.12689209,2.3065684,-0.015646162,0.18503213,0.42186301946640015,61,15616,341.89344656839967,999424
93.1,1.72,2863,0.008524929,0.11808268,2.3080146,-0.014749554,0.16586046,0.4583478569984436,62,15872,347.6154795354232,1015808
96.94,1.82,2900,0.010067009,0.13708496,2.2655952,-0.017137414,0.14696768,0.5489701628684998,63,16128,353.3078666217625,1032192
106.19,1.99,2905,0.0101341605,0.14198811,2.2661002,-0.015248962,0.15426853,0.45649588108062744,64,16384,358.9485057676211,1048576
